PID,FID
1435,149
1436,155
1437,75
1438,13
1439,39
1440,160
1441,240
1442,365
1443,149
1444,298
1445,372
1446,121
1447,101
1448,143
1449,113
1450,114
1451,50
1452,68
1453,99
1454,27
1455,51
1456,222
1457,111
1458,113
1459,174
1460,242
1461,326
1462,14
1463,100
1464,67
1465,247
1466,303
1467,233
1468,6
1469,284
1470,159
1471,380
1472,103
1473,331
1474,344
1475,62
1476,38
1477,78
1478,143
1479,324
1480,326
1481,353
1482,82
1483,47
1484,3
1485,72
1486,98
1487,139
1488,276
1489,85
1490,352
1491,25
1492,252
1493,61
1494,140
1495,411
1496,310
1497,325
1498,255
1499,231
1500,357
1501,407
1502,147
1503,97
1504,117
1505,39
1506,365
1507,229
1508,185
1509,248
1510,119
1511,369
1512,87
1513,34
1514,260
1515,83
1516,246
1517,244
1518,212
1519,124
1520,19
1521,36
1522,374
1523,9
1524,114
1525,83
1526,366
1527,258
1528,321
1529,284
1530,412
1531,106
1532,39
1533,158
1534,382
1535,244
1536,200
1537,177
1538,87
1539,380
1540,131
1541,364
1542,262
1543,48
1544,282
1545,301
1546,147
1547,313
1548,75
1549,88
1550,143
1551,114
1552,254
1553,24
1554,127
1555,127
1556,353
1557,25
1558,399
1559,262
1560,72
1561,116
1562,75
1563,217
1564,93
1565,253
1566,279
1567,77
1568,82
1569,187
1570,50
1571,228
1572,28
1573,330
1574,265
1575,360
1576,181
1577,23
1578,295
1579,113
1580,318
1581,189
1582,47
1583,239
1584,47
1585,355
1586,112
1587,330
1588,152
1589,16
1590,34
1591,375
1592,199
1593,217
1594,169
1595,243
1596,157
1597,93
1598,268
1599,5
1600,16
1601,88
1602,365
1603,301
1604,109
1605,267
1606,17
1607,263
1608,378
1609,119
1610,83
1611,259
1612,128
1613,281
1614,110
1615,310
1616,231
1617,65
1618,207
1619,138
1620,25
1621,274
1622,88
1623,43
1624,243
1625,27
1626,379
1627,189
1628,23
1629,319
1630,177
1631,257
1632,386
1633,30
1634,173
1635,395
1636,402
1637,149
1638,128
1639,259
1640,298
1641,168
1642,241
1643,88
1644,311
1645,190
1646,286
1647,65
1648,158
1649,18
1650,75
1651,183
1652,147
1653,318
1654,182
1655,115
1656,389
1657,337
1658,131
1659,136
1660,196
1661,284
1662,371
1663,196
1664,355
1665,57
1666,83
1667,259
1668,396
1669,90
1670,360
1671,172
1672,15
1673,83
1674,56
1675,180
1676,231
1677,92
1678,149
1679,55
1680,306
1681,347
1682,104
1683,357
1684,402
1685,58
1686,171
1687,53
1688,27
1689,330
1690,372
1691,91
1692,304
1693,71
1694,59
1695,103
1696,81
1697,240
1698,36
1699,119
1700,55
1701,31
1702,100
1703,170
1704,335
1705,160
1706,329
1707,13
1708,46
1709,71
1710,346
1711,107
1712,74
1713,144
1714,309
1715,242
1716,341
1717,395
1718,30
1719,31
1720,397
1721,395
1722,105
1723,148
1724,56
1725,5
1726,193
1727,312
1728,351
1729,117
1730,19
1731,202
1732,68
1733,248
1734,28
1735,8
1736,50
1737,139
1738,188
1739,110
1740,300
1741,346
1742,39
1743,77
1744,2
1745,308
1746,251
1747,78
1748,271
1749,216
1750,97
1751,310
1752,353
1753,88
1754,325
1755,232
1756,300
1757,300
1758,56
1759,191
1760,86
1761,0
1762,416
1763,87
1764,298
1765,283
1766,177
1767,380
1768,123
1769,250
1770,153
1771,116
1772,279
1773,123
1774,57
1775,150
1776,107
1777,302
1778,284
1779,103
1780,63
1781,239
1782,384
1783,260
1784,394
1785,59
1786,354
1787,215
1788,104
1789,287
1790,292
1791,199
1792,113
1793,195
1794,277
1795,322
1796,313
1797,305
1798,202
1799,83
1800,299
1801,270
1802,259
1803,73
1804,277
1805,415
1806,202
1807,30
1808,53
1809,58
1810,125
1811,389
1812,392
1813,360
1814,295
1815,128
1816,19
1817,384
1818,239
1819,45
1820,256
1821,330
1822,119
1823,227
1824,44
1825,275
1826,278
1827,292
1828,328
1829,151
1830,344
1831,241
1832,119
1833,311
1834,361
1835,187
1836,109
1837,325
1838,224
1839,151
1840,207
1841,87
1842,254
1843,167
1844,280
1845,377
1846,282
1847,383
1848,60
1849,123
1850,259
1851,153
1852,216
1853,243
1854,145
1855,88
1856,174
1857,244
1858,232
1859,92
1860,39
1861,14
1862,22
1863,334
1864,344
1865,128
1866,104
1867,140
1868,284
1869,256
1870,262
1871,17
1872,107
1873,279
1874,10
1875,380
1876,356
1877,33
1878,234
1879,119
1880,223
1881,44
1882,377
1883,86
1884,362
1885,402
1886,384
1887,219
1888,53
1889,365
1890,311
1891,117
1892,27
1893,270
1894,110
1895,197
1896,361
1897,68
1898,301
1899,336
1900,257
1901,96
1902,65
1903,309
1904,204
1905,108
1906,35
1907,204
1908,331
1909,125
1910,29
1911,307
1912,310
1913,160
1914,57
1915,288
1916,139
1917,351
1918,389
1919,30
1920,149
1921,278
1922,73
1923,93
1924,292
1925,24
1926,400
1927,326
1928,322
1929,340
1930,309
1931,187
1932,258
1933,86
1934,195
1935,227
1936,16
1937,229
1938,66
1939,207
1940,337
1941,198
1942,134
1943,215
1944,347
1945,392
1946,324
1947,142
1948,293
1949,138
1950,263
1951,135
1952,296
1953,395
1954,409
1955,217
1956,388
1957,189
1958,7
1959,387
1960,294
1961,225
1962,309
1963,276
1964,57
1965,73
1966,102
1967,62
1968,82
1969,349
1970,309
1971,316
1972,381
1973,203
1974,76
1975,48
1976,211
1977,329
1978,261
1979,278
1980,339
1981,290
1982,28
1983,74
1984,2
1985,37
1986,45
1987,5
1988,278
1989,55
1990,129
1991,48
1992,221
1993,54
1994,64
1995,405
1996,373
1997,182
1998,118
1999,50
2000,54
2001,234
2002,407
2003,28
2004,322
2005,66
2006,15
2007,316
2008,206
2009,304
2010,329
2011,263
2012,28
2013,35
2014,292
2015,84
2016,348
2017,239
2018,102
2019,209
2020,207
2021,97
2022,247
2023,194
2024,413
2025,114
2026,82
2027,368
2028,374
2029,123
2030,371
2031,390
2032,13
2033,206
2034,29
2035,159
2036,260
2037,110
2038,293
2039,402
2040,31
2041,171
2042,379
2043,213
2044,292
2045,113
2046,74
2047,308
2048,319
2049,254
2050,252
2051,389
2052,285
2053,67
2054,179
2055,256
2056,92
2057,28
2058,104
2059,293
2060,6
2061,46
2062,24
2063,277
2064,290
2065,21
2066,167
2067,290
2068,329
2069,135
2070,155
2071,227
2072,16
2073,248
2074,204
2075,356
2076,32
2077,16
2078,6
2079,186
2080,43
2081,140
2082,343
2083,119
2084,155
2085,228
2086,46
2087,45
2088,45
2089,11
2090,134
2091,43
2092,360
2093,152
2094,138
2095,144
2096,126
2097,45
2098,130
2099,57
2100,307
2101,70
2102,141
2103,348
2104,42
2105,128
2106,55
2107,52
2108,403
2109,88
2110,39
2111,392
2112,36
2113,394
2114,55
2115,47
2116,183
2117,363
2118,124
2119,74
2120,5
2121,16
2122,106
2123,337
2124,173
2125,349
2126,338
2127,315
2128,147
2129,288
2130,147
2131,195
2132,297
2133,152
2134,313
2135,185
2136,373
2137,336
2138,25
2139,297
2140,340
2141,89
2142,251
2143,50
2144,188
2145,357
2146,95
2147,37
2148,207
2149,241
2150,103
2151,183
2152,118
2153,221
2154,249
2155,148
2156,97
2157,266
2158,67
2159,101
2160,19
2161,101
2162,184
2163,157
2164,248
2165,367
2166,123
2167,275
2168,225
2169,104
2170,26
2171,229
2172,147
2173,222
2174,335
2175,245
2176,23
2177,212
2178,366
2179,289
2180,85
2181,102
2182,294
2183,143
2184,286
2185,23
2186,26
2187,373
2188,381
2189,113
2190,152
2191,202
2192,385
2193,34
2194,392
2195,391
2196,52
2197,5
2198,405
2199,123
2200,334
2201,182
2202,99
2203,223
2204,89
2205,96
2206,276
2207,31
2208,298
2209,57
2210,367
2211,126
2212,298
2213,6
2214,270
2215,143
2216,142
2217,301
2218,64
2219,383
2220,379
2221,298
2222,221
2223,117
2224,317
2225,77
2226,94
2227,395
2228,384
2229,12
2230,212
2231,65
2232,197
2233,81
2234,105
2235,106
2236,152
2237,127
2238,402
2239,10
2240,290
2241,43
2242,220
2243,233
2244,51
2245,323
2246,242
2247,106
2248,128
2249,94
2250,323
2251,196
2252,22
2253,217
2254,316
2255,159
2256,220
2257,20
2258,230
2259,163
2260,364
2261,388
2262,200
2263,103
2264,123
2265,241
2266,223
2267,147
2268,247
2269,353
2270,208
2271,167
2272,253
2273,60
2274,270
2275,12
2276,71
2277,75
2278,282
2279,116
2280,86
2281,157
2282,275
2283,325
2284,52
2285,146
2286,72
2287,16
2288,284
2289,250
2290,192
2291,245
2292,111
2293,181
2294,169
2295,346
2296,263
2297,257
2298,152
2299,67
2300,305
2301,53
2302,341
2303,198
2304,69
2305,277
2306,67
2307,398
2308,368
2309,122
2310,141
2311,263
2312,213
2313,2
2314,59
2315,157
2316,287
2317,294
2318,45
2319,339
2320,70
2321,76
2322,77
2323,405
2324,379
2325,129
2326,232
2327,156
2328,347
2329,173
2330,321
2331,34
2332,128
2333,237
2334,415
2335,85
2336,130
2337,129
2338,238
2339,143
2340,197
2341,108
2342,227
2343,78
2344,195
2345,89
2346,360
2347,290
2348,114
2349,2
2350,30
2351,76
2352,106
2353,102
2354,87
2355,117
2356,337
2357,373
2358,198
2359,276
2360,68
2361,63
2362,39
2363,330
2364,278
2365,44
2366,319
2367,66
2368,222
2369,138
2370,88
2371,55
2372,38
2373,230
2374,87
2375,325
2376,390
2377,33
2378,97
2379,5
2380,367
2381,372
2382,103
2383,265
2384,82
2385,205
2386,124
2387,143
2388,372
2389,225
2390,58
2391,138
2392,320
2393,259
2394,3
2395,239
2396,125
2397,128
2398,185
2399,262
2400,335
2401,126
2402,0
2403,334
2404,310
2405,156
2406,184
2407,47
2408,69
2409,382
2410,22
2411,309
2412,231
2413,55
2414,255
2415,43
2416,78
2417,127
2418,45
2419,36
2420,25
2421,213
2422,292
2423,149
2424,372
2425,383
2426,287
2427,57
2428,230
2429,226
2430,130
2431,153
2432,59
2433,394
2434,230
2435,64
2436,304
2437,133
2438,81
2439,145
2440,4
2441,26
2442,251
2443,241
2444,16
2445,143
2446,388
2447,39
2448,261
2449,41
2450,93
2451,382
2452,237
2453,265
2454,380
2455,182
2456,194
2457,317
2458,365
2459,341
2460,23
2461,377
2462,98
2463,364
2464,328
2465,293
2466,392
2467,241
2468,194
2469,83
2470,294
2471,280
2472,384
2473,215
2474,251
2475,65
2476,39
2477,299
2478,258
2479,87
2480,216
2481,83
2482,262
2483,116
2484,290
2485,68
2486,284
2487,391
2488,134
2489,354
2490,233
2491,125
2492,356
2493,323
2494,31
2495,40
2496,83
2497,61
2498,97
2499,227
2500,149
2501,276
2502,263
2503,125
2504,103
2505,118
2506,273
2507,156
2508,35
2509,54
2510,33
2511,159
2512,32
2513,64
2514,44
2515,250
2516,220
2517,134
2518,9
2519,244
2520,180
2521,179
2522,358
2523,243
2524,247
2525,328
2526,93
2527,12
2528,204
2529,205
2530,401
2531,375
2532,40
2533,59
2534,350
2535,365
2536,58
2537,359
2538,42
2539,151
2540,179
2541,157
2542,294
2543,75
2544,295
2545,46
2546,195
2547,405
2548,41
2549,55
2550,88
2551,108
2552,261
2553,210
2554,266
2555,309
2556,34
2557,390
2558,110
2559,199
2560,400
2561,322
2562,13
2563,261
2564,355
2565,186
2566,172
2567,415
2568,258
2569,248
2570,76
2571,242
2572,101
2573,130
2574,413
2575,91
2576,150
2577,392
2578,293
2579,143
2580,322
2581,156
2582,1
2583,90
2584,415
2585,25
2586,279
2587,91
2588,202
2589,47
2590,319
2591,285
2592,135
2593,108
2594,374
2595,103
2596,25
2597,98
2598,71
2599,198
2600,59
2601,292
2602,286
2603,222
2604,129
2605,197
2606,347
2607,361
2608,198
2609,152
2610,297
2611,46
2612,138
2613,68
2614,55
2615,156
2616,58
2617,326
2618,188
2619,364
2620,335
2621,364
2622,280
2623,259
2624,120
2625,87
2626,375
2627,217
2628,345
2629,87
2630,308
2631,122
2632,28
2633,105
2634,16
2635,324
2636,280
2637,165
2638,243
2639,239
2640,22
2641,343
2642,162
2643,382
2644,191
2645,282
2646,310
2647,263
2648,220
2649,98
2650,232
2651,15
2652,212
2653,19
2654,132
2655,86
2656,305
2657,188
2658,94
2659,151
2660,368
2661,192
2662,147
2663,124
2664,91
2665,98
2666,106
2667,180
2668,287
2669,302
2670,381
2671,243
2672,7
2673,109
2674,225
2675,211
2676,116
2677,147
2678,188
2679,344
2680,367
2681,1
2682,187
2683,174
2684,249
2685,19
2686,330
2687,66
2688,355
2689,20
2690,347
2691,32
2692,15
2693,31
2694,269
2695,225
2696,243
2697,302
2698,214
2699,255
2700,388
2701,179
2702,230
2703,138
2704,103
2705,370
2706,69
2707,110
2708,212
2709,92
2710,49
2711,213
2712,214
2713,81
2714,397
2715,238
2716,295
2717,83
2718,15
2719,280
2720,305
2721,296
2722,311
2723,351
2724,260
2725,250
2726,108
2727,394
2728,348
2729,146
2730,243
2731,268
2732,400
2733,297
2734,113
2735,355
2736,272
2737,321
2738,42
2739,103
2740,59
2741,324
2742,140
2743,143
2744,92
2745,231
2746,277
2747,259
2748,234
2749,325
2750,416
2751,151
2752,126
2753,392
2754,10
2755,138
2756,15
2757,153
2758,28
2759,177
2760,372
2761,105
2762,337
2763,320
2764,3
2765,376
2766,320
2767,121
2768,247
2769,24
2770,335
2771,281
2772,10
2773,358
2774,103
2775,281
2776,396
2777,373
2778,31
2779,88
2780,90
2781,51
2782,354
2783,135
2784,106
2785,31
2786,196
2787,381
2788,196
2789,352
2790,63
2791,221
2792,102
2793,263
2794,137
2795,45
2796,96
2797,374
2798,253
2799,197
2800,170
2801,320
2802,336
2803,80
2804,50
2805,320
2806,105
2807,32
2808,88
2809,7
2810,324
2811,279
2812,391
2813,346
2814,214
2815,170
2816,156
2817,416
2818,27
2819,152
2820,77
2821,30
2822,121
2823,149
2824,102
2825,43
2826,121
2827,69
2828,186
2829,70
2830,392
2831,46
2832,354
2833,367
2834,122
2835,235
2836,334
2837,49
2838,119
2839,286
2840,16
2841,38
2842,386
2843,267
2844,351
2845,55
2846,121
2847,2
2848,327
2849,80
2850,142
2851,234
2852,243
2853,194
2854,385
2855,82
2856,99
2857,221
2858,13
2859,371
2860,36
2861,125
2862,151
2863,64
2864,256
2865,382
2866,134
2867,67
2868,54
2869,67
2870,107
2871,152
2872,377
2873,390
2874,44
2875,194
2876,196
2877,412
2878,260
2879,276
2880,282
2881,100
2882,382
2883,267
2884,88
2885,364
2886,10
2887,290
2888,411
2889,269
2890,267
2891,35
2892,270
2893,275
2894,290
2895,117
2896,265
2897,60
2898,76
2899,214
2900,184
2901,28
2902,255
2903,24
2904,183
2905,335
2906,253
2907,301
2908,38
2909,183
2910,291
2911,211
2912,343
2913,359
2914,134
2915,348
2916,50
2917,40
2918,111
2919,194
2920,38
2921,45
2922,188
2923,106
2924,210
2925,197
2926,341
2927,312
2928,34
2929,222
2930,142
2931,325
2932,325
2933,99
2934,205
2935,291
2936,299
2937,392
2938,363
2939,153
2940,146
2941,376
2942,25
2943,225
2944,217
2945,395
2946,136
2947,301
2948,369
2949,288
2950,357
2951,130
2952,7
2953,75
2954,45
2955,413
2956,40
2957,105
2958,251
2959,252
2960,337
2961,374
2962,85
2963,144
2964,179
2965,156
2966,67
2967,256
2968,114
2969,42
2970,45
2971,88
2972,137
2973,146
2974,349
2975,277
2976,347
2977,114
2978,359
2979,40
2980,348
2981,89
2982,156
2983,412
2984,32
2985,103
2986,45
2987,93
2988,292
2989,5
2990,2
2991,76
2992,318
2993,129
2994,276
2995,390
2996,9
